date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:29:46	110/110	U-----	200	untouched ('OK')	text/plain	etag:%2212729-1745123354;gz%22	https://kmidigital.org/robots.txt		(from )
15:29:46	111735/111735	U-----	200	untouched ('OK')	text/html	etag:%2212881-1745144349;gz%22	https://kmidigital.org/	C:/My%20Web%20Sites/kmi/kmidigital.org/index.html	(from )
15:29:47	110147/110147	---M-Z	200	added ('OK')	text/css	etag:%221ae43-65b977a2-48484240b165d4b2;gz%22	https://kmidigital.org/wp-includes/css/dist/block-library/style.min.css?ver=6.4.5	C:/My%20Web%20Sites/kmi/kmidigital.org/wp-includes/css/dist/block-library/style.min75e4.css	(from https://kmidigital.org/)
15:29:48	2894/2894	---M-Z	200	added ('OK')	text/css	etag:%22b4e-65606254-366c4b71c5585644;gz%22	https://kmidigital.org/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.8.3	C:/My%20Web%20Sites/kmi/kmidigital.org/wp-content/plugins/contact-form-7/includes/css/stylesc8d8.css	(from https://kmidigital.org/)
15:29:48	1633/1633	---M-Z	200	added ('OK')	application/rss+xml	etag:%227cbe52ed50665240b735267595b2805a%22	https://kmidigital.org/comments/feed/	C:/My%20Web%20Sites/kmi/kmidigital.org/comments/feed/index.html	(from https://kmidigital.org/)
15:29:49	1246/1246	---M-Z	200	added ('OK')	text/css	etag:%224de-63c31b58-1032624ba7ec204b;gz%22	https://kmidigital.org/wp-content/themes/leverage/assets/css/vendor/default-font.min.css?ver=2.1.9	C:/My%20Web%20Sites/kmi/kmidigital.org/wp-content/themes/leverage/assets/css/vendor/default-font.min6c17.css	(from https://kmidigital.org/)
15:29:49	251230/251230	---MCZ	200	added ('OK')	application/rss+xml	etag:%227cbe52ed50665240b735267595b2805a%22	https://kmidigital.org/feed/	C:/My%20Web%20Sites/kmi/kmidigital.org/feed/index.html	(from https://kmidigital.org/)
15:29:49	13389/13389	---M-Z	200	added ('OK')	text/css	etag:%22344d-63c31b58-daca960fb940e25f;gz%22	https://kmidigital.org/wp-content/themes/leverage/assets/css/vendor/slider.min.css?ver=2.1.9	C:/My%20Web%20Sites/kmi/kmidigital.org/wp-content/themes/leverage/assets/css/vendor/slider.min6c17.css	(from https://kmidigital.org/)
15:29:49	159490/159490	---M-Z	200	added ('OK')	text/css	etag:%2226f02-63c31b58-2243d7646c491dda;gz%22	https://kmidigital.org/wp-content/themes/leverage/assets/css/vendor/bootstrap.min.css?ver=2.1.9	C:/My%20Web%20Sites/kmi/kmidigital.org/wp-content/themes/leverage/assets/css/vendor/bootstrap.min6c17.css	(from https://kmidigital.org/)
15:29:50	111909/111909	---M-Z	200	added ('OK')	text/css	etag:%221b525-63c31b58-ff6b752f55bab6b5;gz%22	https://kmidigital.org/wp-content/themes/leverage/style.css?ver=2.1.9	C:/My%20Web%20Sites/kmi/kmidigital.org/wp-content/themes/leverage/style6c17.css	(from https://kmidigital.org/)
15:29:50	11706/11706	---M-Z	200	added ('OK')	text/css	etag:%222dba-63c31b58-49ab232c7d36726d;gz%22	https://kmidigital.org/wp-content/themes/leverage/assets/css/vendor/icons.min.css?ver=2.1.9	C:/My%20Web%20Sites/kmi/kmidigital.org/wp-content/themes/leverage/assets/css/vendor/icons.min6c17.css	(from https://kmidigital.org/)
15:29:50	26053/26053	---M-Z	200	added ('OK')	text/css	etag:%2265c5-63c31b58-8f09775cc168b113;gz%22	https://kmidigital.org/wp-content/themes/leverage/assets/css/vendor/animation.min.css?ver=2.1.9	C:/My%20Web%20Sites/kmi/kmidigital.org/wp-content/themes/leverage/assets/css/vendor/animation.min6c17.css	(from https://kmidigital.org/)
15:29:50	20591/20591	---M-Z	200	added ('OK')	text/css	etag:%22506f-63c31b58-d3dbab926e297a54;gz%22	https://kmidigital.org/wp-content/themes/leverage/assets/css/vendor/gallery.min.css?ver=2.1.9	C:/My%20Web%20Sites/kmi/kmidigital.org/wp-content/themes/leverage/assets/css/vendor/gallery.min6c17.css	(from https://kmidigital.org/)
15:29:51	7806/7806	---M-Z	200	added ('OK')	text/css	etag:%221e7e-63c31b58-9c5e7f2d68e485ad;gz%22	https://kmidigital.org/wp-content/themes/leverage/assets/css/vendor/cookie-notice.min.css?ver=2.1.9	C:/My%20Web%20Sites/kmi/kmidigital.org/wp-content/themes/leverage/assets/css/vendor/cookie-notice.min6c17.css	(from https://kmidigital.org/)
15:29:51	6865/6865	---M-Z	200	added ('OK')	text/css	etag:%221ad1-63c31b58-6b76c4fe4f8d6c03;gz%22	https://kmidigital.org/wp-content/themes/leverage/assets/css/default.css?ver=2.1.9	C:/My%20Web%20Sites/kmi/kmidigital.org/wp-content/themes/leverage/assets/css/default6c17.css	(from https://kmidigital.org/)
15:29:51	20445/20445	---M-Z	200	added ('OK')	text/css	etag:%224fdd-63c31b58-d9df8dda9e50e6fc;gz%22	https://kmidigital.org/wp-content/themes/leverage/assets/css/support/wordpress.css?ver=2.1.9	C:/My%20Web%20Sites/kmi/kmidigital.org/wp-content/themes/leverage/assets/css/support/wordpress6c17.css	(from https://kmidigital.org/)
15:29:51	1735/1735	---M-Z	200	added ('OK')	text/css	etag:%226c7-63c31b58-c07fffe6e9fe29f4;gz%22	https://kmidigital.org/wp-content/themes/leverage/assets/css/support/contact-form-7.css?ver=2.1.9	C:/My%20Web%20Sites/kmi/kmidigital.org/wp-content/themes/leverage/assets/css/support/contact-form-76c17.css	(from https://kmidigital.org/)
15:29:52	19533/19533	---M-Z	200	added ('OK')	text/css	etag:%224c4d-656062a4-c91ab319d6e4112b;gz%22	https://kmidigital.org/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.23.0	C:/My%20Web%20Sites/kmi/kmidigital.org/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min192d.css	(from https://kmidigital.org/)
15:29:52	117332/117332	---M-Z	200	added ('OK')	text/css	etag:%221ca54-656062a2-30a9f59fe3966200;gz%22	https://kmidigital.org/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.17.3	C:/My%20Web%20Sites/kmi/kmidigital.org/wp-content/plugins/elementor/assets/css/frontend-lite.min8864.css	(from https://kmidigital.org/)
15:29:52	12876/12876	---M-Z	200	added ('OK')	text/css	etag:%22324c-656062a4-17e909c23ec0ffd2;gz%22	https://kmidigital.org/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min.css?ver=5.3.6	C:/My%20Web%20Sites/kmi/kmidigital.org/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min48f5.css	(from https://kmidigital.org/)
15:29:53	977/977	---M-Z	200	added ('OK')	text/css	etag:%223d1-656062b4-c2e2bdef855cb4f1;gz%22	https://kmidigital.org/wp-content/uploads/elementor/css/post-9.css?ver=1700815540	C:/My%20Web%20Sites/kmi/kmidigital.org/wp-content/uploads/elementor/css/post-9bf39.css	(from https://kmidigital.org/)
15:29:53	15062/15062	---M-Z	200	added ('OK')	text/css	etag:%223ad6-6620fe1f-aa5a04ab41ff550c;gz%22	https://kmidigital.org/wp-content/uploads/elementor/css/post-251.css?ver=1713438239	C:/My%20Web%20Sites/kmi/kmidigital.org/wp-content/uploads/elementor/css/post-25106ba.css	(from https://kmidigital.org/)
15:29:53	3443/3443	---M-Z	200	added ('OK')	text/css	etag:%22d73-6560625e-e47a1d64fcf36b42;gz%22	https://kmidigital.org/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.min.css?ver=5.8.18	C:/My%20Web%20Sites/kmi/kmidigital.org/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.mina774.css	(from https://kmidigital.org/)
15:29:54	87553/87553	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215601-65606225-c0a2f6b9dff6d1c;gz%22	https://kmidigital.org/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/My%20Web%20Sites/kmi/kmidigital.org/wp-includes/js/jquery/jquery.minf43b.js	(from https://kmidigital.org/)
15:29:54	13577/13577	---M-Z	200	added ('OK')	application/x-javascript	etag:%223509-65606225-3835dc4b54e30e74;gz%22	https://kmidigital.org/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/My%20Web%20Sites/kmi/kmidigital.org/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://kmidigital.org/)
15:29:55	77559/77559	---M-Z	200	added ('OK')	application/json	date:Sun,%2020%20Apr%202025%2010:29:54%20GMT	https://kmidigital.org/wp-json/wp/v2/pages/251	C:/My%20Web%20Sites/kmi/kmidigital.org/wp-json/wp/v2/pages/251.json	(from https://kmidigital.org/)
15:29:55	204456/204456	---MCZ	200	added ('OK')	application/json	etag:%2212884-1745144994;gz%22	https://kmidigital.org/wp-json/	C:/My%20Web%20Sites/kmi/kmidigital.org/wp-json/index.html	(from https://kmidigital.org/)
15:29:56	798/798	---M-Z	200	added ('OK')	text/xml	date:Sun,%2020%20Apr%202025%2010:29:56%20GMT	https://kmidigital.org/xmlrpc.php?rsd	C:/My%20Web%20Sites/kmi/kmidigital.org/xmlrpc0db0.php	(from https://kmidigital.org/)
15:29:56	2110/2110	---M-Z	200	added ('OK')	application/json	etag:%2212885-1745144996;gz%22	https://kmidigital.org/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fkmidigital.org%2F	C:/My%20Web%20Sites/kmi/kmidigital.org/wp-json/oembed/1.0/embede3d3.json	(from https://kmidigital.org/)
15:29:56	2269/2269	---M-Z	200	added ('OK')	text/xml	etag:%2212886-1745144996;gz%22	https://kmidigital.org/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fkmidigital.org%2F&format=xml	C:/My%20Web%20Sites/kmi/kmidigital.org/wp-json/oembed/1.0/embeda582	(from https://kmidigital.org/)
15:29:57	1656/1656	---M--	200	added ('OK')	image/png	etag:%22678-648da45f-440a3aac99bf4f7;;;%22	https://kmidigital.org/wp-content/uploads/2023/06/cropped-KMI-icon-32x32.png	C:/My%20Web%20Sites/kmi/kmidigital.org/wp-content/uploads/2023/06/cropped-KMI-icon-32x32.png	(from https://kmidigital.org/)
15:29:57	14515/14515	---M--	200	added ('OK')	image/png	etag:%2238b3-648da45f-389ee25682f92c40;;;%22	https://kmidigital.org/wp-content/uploads/2023/06/cropped-KMI-icon-192x192.png	C:/My%20Web%20Sites/kmi/kmidigital.org/wp-content/uploads/2023/06/cropped-KMI-icon-192x192.png	(from https://kmidigital.org/)
15:29:57	13515/13515	---M--	200	added ('OK')	image/png	etag:%2234cb-648da45f-e5a93c6f7d479d03;;;%22	https://kmidigital.org/wp-content/uploads/2023/06/cropped-KMI-icon-180x180.png	C:/My%20Web%20Sites/kmi/kmidigital.org/wp-content/uploads/2023/06/cropped-KMI-icon-180x180.png	(from https://kmidigital.org/)
15:29:58	121891/121891	---M--	200	added ('OK')	image/png	etag:%221dc23-648da784-1e08928f2cd44830;;;%22	https://kmidigital.org/wp-content/uploads/2023/06/cropped-KMI-For-Web-2.png	C:/My%20Web%20Sites/kmi/kmidigital.org/wp-content/uploads/2023/06/cropped-KMI-For-Web-2.png	(from https://kmidigital.org/)
15:29:58	94706/94706	---M--	200	added ('OK')	image/jpeg	etag:%22171f2-63c42f75-4dba406b56b25373;;;%22	https://kmidigital.org/wp-content/uploads/2023/01/WhatsApp-Image-2023-01-15-at-11.12.18-min.jpg	C:/My%20Web%20Sites/kmi/kmidigital.org/wp-content/uploads/2023/01/WhatsApp-Image-2023-01-15-at-11.12.18-min.jpg	(from https://kmidigital.org/)
15:29:58	59356/59356	---MCZ	200	added ('OK')	text/html	etag:%2212878-1745144309;gz%22	https://kmidigital.org/about-us/	C:/My%20Web%20Sites/kmi/kmidigital.org/about-us/index.html	(from https://kmidigital.org/)
15:29:59	74960/74960	---M-Z	200	added ('OK')	text/html	etag:%2212887-1745144999;gz%22	https://kmidigital.org/contactus/	C:/My%20Web%20Sites/kmi/kmidigital.org/contactus/index.html	(from https://kmidigital.org/)
15:29:59	66900/66900	---M-Z	200	added ('OK')	text/html	etag:%2212888-1745144999;gz%22	https://kmidigital.org/our-services/	C:/My%20Web%20Sites/kmi/kmidigital.org/our-services/index.html	(from https://kmidigital.org/)
15:29:59	63201/63201	---M-Z	200	added ('OK')	text/html	etag:%2212889-1745144999;gz%22	https://kmidigital.org/managing-artists-and-labels/	C:/My%20Web%20Sites/kmi/kmidigital.org/managing-artists-and-labels/index.html	(from https://kmidigital.org/)
